article,line_no,phrase,global_citations
"Montoya-Castrillon M, 2021, DYNA, V88, P171",0,"fungi, with all their biological and enzymatic qualities, could have great potential being implemented in industrial processes.",1
"Montoya-Castrillon M, 2021, DYNA, V88, P171",1,"in this study, filamentous fungi from sonson-antioquia region were isolated and characterized.",1
"Montoya-Castrillon M, 2021, DYNA, V88, P171",2,"a morphological characterization was carried out using taxonomic keys and additionally a biochemical characterization qualitatively evaluated the amylolytic, cellulolytic, lipolytic, proteolytic, catalase, peroxidase, and laccase capacity of the strains.",1
"Montoya-Castrillon M, 2021, DYNA, V88, P171",3,"furthermore, isolated fungi were molecularly identified using the lsu region of the rdna (28s).",1
"Montoya-Castrillon M, 2021, DYNA, V88, P171",4,"among the strains identified, trichoderma sp., penicillium sp., mucor sp.",1
"Montoya-Castrillon M, 2021, DYNA, V88, P171",5,aspergillus sp.,1
"Montoya-Castrillon M, 2021, DYNA, V88, P171",6,and lecythophora sp.,1
"Montoya-Castrillon M, 2021, DYNA, V88, P171",7,genera were found and it was observed that the analyzed fungi present at least one of the seven enzymatic activities evaluated and some genera such as trichoderma sp.,1
"Montoya-Castrillon M, 2021, DYNA, V88, P171",8,and aspergillus sp.,1
"Montoya-Castrillon M, 2021, DYNA, V88, P171",9,present even six of them.,1
"Montoya-Castrillon M, 2021, DYNA, V88, P171",10,"therefore, the isolated strains show desirable characteristics in food, paper, cosmetic, and textile industries, and in areas such as bioremediation and biological control.",1
"Montoya-Castrillon M, 2021, DYNA, V88, P171",11,the author.,1
"Montoya-Castrillon M, 2021, DYNA, V88, P171",12,licensee universidad nacional de colombia.,1
"Garrido-Tellez JL, 2021, DYNA, V88, P210",0,the numerical simulation results of the flow exhaust gases emitted by different aircraft engines are presented in this work.,0
"Garrido-Tellez JL, 2021, DYNA, V88, P210",1,"these results permitted the design of the most appropriate circular arc for a curved deflector to correctly direct the flow at the time planes are taking-off on the left runway number five of mexico city international airport (aicm) and not to affect the operability and route of the inter-terminal train, called as aerotren.",0
"Garrido-Tellez JL, 2021, DYNA, V88, P210",2,this train has four carriages of 25 passengers each and transports users of mexico city international airport from terminal t-1 to terminal t-2 and vice versa.,0
"Garrido-Tellez JL, 2021, DYNA, V88, P210",3,"for the numerical simulation, several engine models of different aircraft were used, including the boeing 747-400, the boeing 777-200lr/-300er, the airbus a340-600, and the mcdonnell douglas md11.",0
"Garrido-Tellez JL, 2021, DYNA, V88, P210",4,"the results presented here are those from the mcdonnell douglas md11 airplane, which is the most critical case since it has an engine in the rear part of the fuselage on the vertical empennage, and this causes the flow of exhaust gases to arrive in a direction from top to bottom on the upper part of the aerotren, which for safety should not exceed 15.0 m/s (54 km/hr).",0
"Garrido-Tellez JL, 2021, DYNA, V88, P210",5,the impact of the explosion of these engine models was used to choose the most appropriate deflector curvature angle in the take-off area.,0
"Garrido-Tellez JL, 2021, DYNA, V88, P210",6,"the numerical simulation was carried out through the fluent cfd program, solving the navier-stokes equations, the standard model, turbulence, and atmospheric conditions in mexico city.",0
"Garrido-Tellez JL, 2021, DYNA, V88, P210",7,an experimental stage and the visualization of the behavior of the flow of exhaust gases within a wind tunnel are also presented.,0
"Garrido-Tellez JL, 2021, DYNA, V88, P210",8,"a 1: 125 scale model was used for both the deflectors with the radius of curvature obtained and the train car, in an area of one square meter and a grid background screen.",0
"Garrido-Tellez JL, 2021, DYNA, V88, P210",9,"2021,the author.",0
"Garrido-Tellez JL, 2021, DYNA, V88, P210",10,licensee universidad nacional de colombia.,0
"Almeida TAB, 2021, DYNA, V88, P111",0,wastewater use in agriculture is a high-potential alternative for coping with water scarcity.,0
"Almeida TAB, 2021, DYNA, V88, P111",1,"the present study aimed to evaluate the impact of using wastewater and sewage sludge on soil attributes in an irrigated maize plantation in the brazilian northeastern semi-arid region, at an experimental reuse unit.",0
"Almeida TAB, 2021, DYNA, V88, P111",2,"two experimental plots were installed with the following treatments: wastewater and sludge, and irrigation with wastewater only.",0
"Almeida TAB, 2021, DYNA, V88, P111",3,"the presence of sludge reduced the salt content and promoted an increase in the soil organic matter content, reducing the salinization risk.",0
"Almeida TAB, 2021, DYNA, V88, P111",4,biometric parameters showed no spatial dependence.,0
"Almeida TAB, 2021, DYNA, V88, P111",5,"on the other hand, soil moisture, electrical conductivity, sand content, clay content and sodium and potassium contents showed strong spatial dependence for the treatment with sludge application.",0
"Almeida TAB, 2021, DYNA, V88, P111",6,the author.,0
"Almeida TAB, 2021, DYNA, V88, P111",7,licensee universidad nacional de colombia.,0
"Gomez-Garcia CA, 2021, DYNA, V88, P147",0,this article presents the implementation of a remote monitoring system of biomedical signals with cybersecurity support and compression of vital sign signals and data of the patient.,0
"Gomez-Garcia CA, 2021, DYNA, V88, P147",1,this system uses a low-cost microsystem for encrypting and compressing the information using the lempelzivwelch (lzw) lossless compression algorithm and the advanced encryption standard (aes).,0
"Gomez-Garcia CA, 2021, DYNA, V88, P147",2,"in this case, the wolfssl library is used to implement the transport layer security (tls) protocol, whose encryption function is accelerated by the aes processor designed on a system on chip-field programmable gate array (soc-fpga) device.",0
"Gomez-Garcia CA, 2021, DYNA, V88, P147",3,"data transmission tests were carried out from the measurement system to the monitoring application developed in labview and implemented on a personal computer (pc), where vital signs and data of the patient are decrypted and decompressed.",0
"Gomez-Garcia CA, 2021, DYNA, V88, P147",4,the microsystem is suitable for e-health platforms and/or e-health devices that use unsecured communication networks with limited bandwidth.,0
"Gomez-Garcia CA, 2021, DYNA, V88, P147",5,the author.,0
"Gomez-Garcia CA, 2021, DYNA, V88, P147",6,universidad nacional de colombia.,0
"Perez-Martinez L, 2021, DYNA, V88, P228",0,the need to embrace adequate entrepreneurial focuses to achieve a better environmental performance constitutes an imminent task.,0
"Perez-Martinez L, 2021, DYNA, V88, P228",1,developing predictive models for environmental indicators constitutes the main objective of this paper.,0
"Perez-Martinez L, 2021, DYNA, V88, P228",2,"an information-technology tool that backs up the decision making will enable an efficient entrepreneurial environmental management, in such a way that they avoid errors that are commented at the present time.",0
"Perez-Martinez L, 2021, DYNA, V88, P228",3,"the application of techniques of data mining enabled capturing the last bosses and to reply to them, in addition to accomplish estimates with new data or out of sample, as well as inferring behaviors and future results, for the sake of anticipating possible situations of deterioration that compromise the environmental sustainability.",0
"Perez-Martinez L, 2021, DYNA, V88, P228",4,"the experiments designed to compare to the results in classification using the predictive models, prove that the percentage of error oscillates between the 4 % and the 5 %, what demonstrates extremely good degree of precision (height), according to the scales of verification.",0
"Perez-Martinez L, 2021, DYNA, V88, P228",5,the author.,0
"Perez-Martinez L, 2021, DYNA, V88, P228",6,licensee universidad nacional de colombia.,0
"Martinez-Conde JM, 2021, DYNA, V88, P247",0,the development of new molecules is a multi-stage process and clinical trials to verify their efficacy cost billions of dollars each year.,0
"Martinez-Conde JM, 2021, DYNA, V88, P247",1,"machine learning is a tool that is rapidly advancing in image, voice, and text recognition, and working in silico would increase the ability to predict and prioritize a drug's function.",0
"Martinez-Conde JM, 2021, DYNA, V88, P247",2,in this research we asked whether the function of therapeutic drugs can be predicted from the stereochemical configuration of the molecule.,0
"Martinez-Conde JM, 2021, DYNA, V88, P247",3,"we use convolutional neural networks to predict the therapeutic use of drugs, trained with both two-dimensional and three-dimensional information of their chemical structure.",0
"Martinez-Conde JM, 2021, DYNA, V88, P247",4,the model trained with only six views of the 3d information of the molecular structure improved the accuracy by 10 over the model trained with the 2d information.,0
"Martinez-Conde JM, 2021, DYNA, V88, P247",5,"2021, universidad nacional de colombia.",0
"Martinez-Conde JM, 2021, DYNA, V88, P247",6,all rights reserved.,0
"Galvis-Velasco LC, 2021, DYNA, V88, P123",0,understanding the flow through porous media when it is part of geotechnical-hydraulic structures has been a scenario calculated from the most unfavorable situation.,1
"Galvis-Velasco LC, 2021, DYNA, V88, P123",1,the passage of water through the porous skeleton of the soil is considered in a saturated condition.,1
"Galvis-Velasco LC, 2021, DYNA, V88, P123",2,"few studies to date consider partially saturated trajectories regarding the influence on the stability of a dam, reservoir, embankment, among others.",1
"Galvis-Velasco LC, 2021, DYNA, V88, P123",3,estimating the speed with which the fluid under analysis flows through a partially saturated media is challenging to perform by conventional methods.,1
"Galvis-Velasco LC, 2021, DYNA, V88, P123",4,"by contrast, nowadays, it is easy to obtain for saturated soil.",1
"Galvis-Velasco LC, 2021, DYNA, V88, P123",5,this study aimed to measure hydraulic conductivity (coefficient of permeability) in granular soils using easily accessible laboratory techniques.,1
"Galvis-Velasco LC, 2021, DYNA, V88, P123",6,"the permeability in unsaturated conditions will be measured, varying the suction in the sample, which is an essential requirement when there is a situation of partial saturation.",1
"Galvis-Velasco LC, 2021, DYNA, V88, P123",7,the results provided data on the permeability values that allow to obtain a very evident difference between both proposed conditions.,1
"Galvis-Velasco LC, 2021, DYNA, V88, P123",8,the author.,1
"Galvis-Velasco LC, 2021, DYNA, V88, P123",9,licensee universidad nacional de colombia.,1
"Borroto-Penton Y, 2021, DYNA, V88, P162",0,"this article presents the state of the art of the application of optimization tools such as genetic algorithms, simulation, neural networks, markov chains and bayesian networks in the physical asset maintenance management.",0
"Borroto-Penton Y, 2021, DYNA, V88, P162",1,"the bibliographic references used were extracted from a detailed search that allowed the selection of the empirical studies presented, in the time horizon from 2010 to 2021, through databases, research platforms and online libraries.",0
"Borroto-Penton Y, 2021, DYNA, V88, P162",2,"the analysis of the identified case studies is carried out, taking into account the variables involved in the study, the optimization tool used, and the result obtained in the analysis of the physical asset maintenance management.",0
"Borroto-Penton Y, 2021, DYNA, V88, P162",3,"the benefits of the application of optimization tools are identified and it is confirmed that maintenance costs and intervention times are present variables, which contribute to the improvement of reliability and maintenance management.",0
"Borroto-Penton Y, 2021, DYNA, V88, P162",4,the author.,0
"Borroto-Penton Y, 2021, DYNA, V88, P162",5,licensee universidad nacional de colombia.,0
"Socarras-Cordovi YC, 2021, DYNA, V88, P155",0,"in a sample of 200 buildings built with the great soviet panel prefabricated system in santiago the cuba, pathological damage and structural transformations carried out by the inhabitants are evidenced.",0
"Socarras-Cordovi YC, 2021, DYNA, V88, P155",1,"being necessary to evaluate a priori, the incidence of the aspects leading to potential seismic damages in the structural behavior of these buildings.",0
"Socarras-Cordovi YC, 2021, DYNA, V88, P155",2,"to meet this objective, 16 hypothetical variants were elaborated, taking into account the statistical analysis of the diagnosis made, which are compared with the 4 variants of the original typologies.",0
"Socarras-Cordovi YC, 2021, DYNA, V88, P155",3,it is concluded that the aspects conducive to potential seismic damages have more repercussion in the change of the oscillation periods than in the seismic demand.,0
"Socarras-Cordovi YC, 2021, DYNA, V88, P155",4,"pathological damage is the one with the highest incidence in the increase in the fundamental periods of vibration, followed by the increase in weight and the openings of panels or slabs.",0
"Socarras-Cordovi YC, 2021, DYNA, V88, P155",5,the author..,0
"Apolo-Matamoros EO, 2021, DYNA, V88, P237",0,this work presents a flexible methodology to design a microtransit system with electric vehicles.,0
"Apolo-Matamoros EO, 2021, DYNA, V88, P237",1,the proposed methodology comprises five stages.,0
"Apolo-Matamoros EO, 2021, DYNA, V88, P237",2,"first, the estimation of the demand is made with qualitative research.",0
"Apolo-Matamoros EO, 2021, DYNA, V88, P237",3,"second, the technological capabilities of the potential means of transportation are compared.",0
"Apolo-Matamoros EO, 2021, DYNA, V88, P237",4,"third, we characterize the different possible routes for micro-transit for each of the technological options and choose the best option, by considering the needs of the user.",0
"Apolo-Matamoros EO, 2021, DYNA, V88, P237",5,this is achieved through a decision-making tool and a discrete-event simulation model that represents the operation of the system.,0
"Apolo-Matamoros EO, 2021, DYNA, V88, P237",6,"finally, we evaluate the environmental impact generated by this new mean of transport on a micro-transit route.",0
"Apolo-Matamoros EO, 2021, DYNA, V88, P237",7,the proposed methodology is flexible and can be applied both in public and private microtransit systems.,0
"Apolo-Matamoros EO, 2021, DYNA, V88, P237",8,we present a case study to validate the results of the methodology on a university campus in colombia.,0
"Apolo-Matamoros EO, 2021, DYNA, V88, P237",9,the author.,0
"Apolo-Matamoros EO, 2021, DYNA, V88, P237",10,licensee universidad nacional de colombia.,0
"Meza-Salazar G, 2021, DYNA, V88, P203",0,"this text describes the plasma nitriding of a ductile iron, to increase the surface hardness and improve its wear behavior.",0
"Meza-Salazar G, 2021, DYNA, V88, P203",1,a ferritic ductile iron was used and processed with gases (n2 + h2) for 5 hours in a treatment chamber built at the unam physics institute.,0
"Meza-Salazar G, 2021, DYNA, V88, P203",2,"the treated samples were characterized using scanning electron microscopy, atomic force microscopy, microhardness and x-ray diffraction.",0
"Meza-Salazar G, 2021, DYNA, V88, P203",3,the presence of fe-n compounds was corroborated on the surface of the material.,0
"Meza-Salazar G, 2021, DYNA, V88, P203",4,modifications in surface morphology and a 30% increase in microhardness were also obtained.,0
"Meza-Salazar G, 2021, DYNA, V88, P203",5,the author.,0
"Meza-Salazar G, 2021, DYNA, V88, P203",6,licensee universidad nacional de colombia.,0
"Perez EA, 2021, DYNA, V88, P218",0,this work analyzes the problem of non-technical losses in a low-voltage electrical power distribution system with an artificial intelligence model.,0
"Perez EA, 2021, DYNA, V88, P218",1,"the problem focuses on the use of a backpropagation multilayer perceptron neural network, which will quantitatively determine these losses from the manipulation of the current profile and the voltage drop expressed as percentages of their nominal values.",0
"Perez EA, 2021, DYNA, V88, P218",2,"these two magnitudes considered, will allow obtaining from the identification of patterns with large variations a technical assessment or quantification to approach the analysis from a different perspective, differing in the methodological determination of non-technical losses currently considered as a percentage of total losses.",0
"Perez EA, 2021, DYNA, V88, P218",3,"the results obtained will allow to form a basis for the correct determination of the non-supplied energy, its influence on distribution costs and energy efficiency for the future insertion of distributed generation.",0
"Perez EA, 2021, DYNA, V88, P218",4,@ licensee universidad nacional de colombia.,0
"Coelho PB, 2021, DYNA, V88, P197",0,"this study evaluates the effect of a low-cost biodegradable coating formulated with potato starch, rice starch, cassava starch, and gelatin on the postharvest quality of tommy atkins mango.",1
"Coelho PB, 2021, DYNA, V88, P197",1,"the experimental design was completely randomized, arranged in a 7x6 factorial scheme with four replications per treatment.",1
"Coelho PB, 2021, DYNA, V88, P197",2,the data were subjected to analysis of variance using the tukey test at 5% probability.,1
"Coelho PB, 2021, DYNA, V88, P197",3,"after coating, the fruits were stored under ambient conditions (25  3 oc and 65  5% rh) for 10 days, with analysis every two days.",1
"Coelho PB, 2021, DYNA, V88, P197",4,"the variables analyzed were: fruit firmness, weight loss, total soluble solids, total titratable acidity, total soluble solids/titratable acidity ratio, delta absorbance (da) index, colorimetric analysis of the peel and pulp, and ascorbic acid content.",1
"Coelho PB, 2021, DYNA, V88, P197",5,the application of biodegradable coatings did not extend the shelf life of tommy atkins mango during storage.,1
"Coelho PB, 2021, DYNA, V88, P197",6,the author.,1
"Sanabria-Rojas JC, 2021, DYNA, V88, P85",0,this paper presents a detailed implementation of a current source inverter using unipolar sinusoidal pulse width modulation.,0
"Sanabria-Rojas JC, 2021, DYNA, V88, P85",1,"this method is uncommon in these types of inverters and the semiconductor devices, integrated circuits, sensors, and filters used in conjunction with the tms320f28379d microcontroller will be discussed.",0
"Sanabria-Rojas JC, 2021, DYNA, V88, P85",2,the inverter was tested in both an open and closed loop with a proportional resonant controller.,0
"Sanabria-Rojas JC, 2021, DYNA, V88, P85",3,satisfactory results in terms of the harmonic distortion factor at the voltage output and the regulation indices for lineal loads were obtained.,0
"Sanabria-Rojas JC, 2021, DYNA, V88, P85",4,the response circuit demonstrated its viability for the subsequent connection to an electrical distribution network.,0
"Sanabria-Rojas JC, 2021, DYNA, V88, P85",5,the author.,0
"Sanabria-Rojas JC, 2021, DYNA, V88, P85",6,licensee universidad nacional de colombia.,0
"Escobar-Macualo FH, 2021, DYNA, V88, P94",0,various authors have introduced several models for the characterization of multilayer reservoirs.,0
"Escobar-Macualo FH, 2021, DYNA, V88, P94",1,"however, some have failed to provide results when the skin factor of the layers is negative.",0
"Escobar-Macualo FH, 2021, DYNA, V88, P94",2,"therefore, in this work, a model applying the concept of the maximum effective hole diameter has been used to simulate pressure tests in multilayer reservoirs.",0
"Escobar-Macualo FH, 2021, DYNA, V88, P94",3,the pressure behavior of such systems is similar to that of naturally fractured double porosity reservoirs.,0
"Escobar-Macualo FH, 2021, DYNA, V88, P94",4,"then, using the unique features of the loglog plot of pressure and pressure derivative versus time, some expressions have been developed to characterize the reservoir.",0
"Escobar-Macualo FH, 2021, DYNA, V88, P94",5,the equations are satisfactorily tested on three field examples.,0
"Escobar-Macualo FH, 2021, DYNA, V88, P94",6,"in this way, a more precise reservoir characterization would be achieved, which will imply better reservoir management.",0
"Escobar-Macualo FH, 2021, DYNA, V88, P94",7,the author.,0
"Escobar-Macualo FH, 2021, DYNA, V88, P94",8,licensee universidad nacional de colombia.,0
"de Jesus FLF, 2021, DYNA, V88, P78",0,"this study aims to evaluate the correlation among growing degree-days (gdd), canopy height (ch), and leaf area index (lai) for guinea grass irrigated, considering the different combinations of the nitrogen and boron rates and cycles of regrowth.",0
"de Jesus FLF, 2021, DYNA, V88, P78",1,"the experiment was carried out from august/2017 to august/2018 in a field experiment, and the climate of the region is classified as subtropical.",0
"de Jesus FLF, 2021, DYNA, V88, P78",2,a randomized block design arranged in a factorial scheme (4x3x11) with four replications was used.,0
"de Jesus FLF, 2021, DYNA, V88, P78",3,"the treatment was (i) boron fertilization: 0, 1, and 2 kg ha-1.",0
"de Jesus FLF, 2021, DYNA, V88, P78",4,"and (ii) nitrogen fertilization: 250, 500, 750, and 1,000 kg ha-1 distributing to 11 growth/cutting cycles.",0
"de Jesus FLF, 2021, DYNA, V88, P78",5,we observed the high correlation between gdd and the parameters evaluated of ch and lai.,0
"de Jesus FLF, 2021, DYNA, V88, P78",6,"the nitrogen results showed a low influence on canopy height and the leaf area index, and boron results did not influence these parameters.",0
"de Jesus FLF, 2021, DYNA, V88, P78",7,the author.,0
"de Jesus FLF, 2021, DYNA, V88, P78",8,licensee universidad nacional de colombia.,0
"Moreno D, 2021, DYNA, V88, P102",0,"tricalcium phosphate (tcp) synthetized by high temperature solid state reaction at 1400c and three derived calcium phosphate cements (cpcs) prepared at liquid to powder (l/p) ratios of 0.33, 0.44 and 0.55 ml/g, respectively, were physicochemically characterized.",0
"Moreno D, 2021, DYNA, V88, P102",1,"calcium deficient hydroxyapatite crystals were identified by scanning electron microscopy on cpc, and differences in crystal sizes were observed at different l/p ratios.",0
"Moreno D, 2021, DYNA, V88, P102",2,"also, the biofilm thickness of two staphylococcus aureus (s.aureus) strains grown for 24 hours on the three cpc are reported.",0
"Moreno D, 2021, DYNA, V88, P102",3,a dependence of the biofilm thickness with the specific surface area (ssa) of cpc was identified.,0
"Moreno D, 2021, DYNA, V88, P102",4,they are directly proportional for non-extracellular polysaccharide substances (eps) producing s.aureus and inversely proportional for eps producing s.aureus.,0
"Moreno D, 2021, DYNA, V88, P102",5,non-proportional behavior between the ssa and mechanical strength of the cpc was observed as l/p ratio increases.,0
"Moreno D, 2021, DYNA, V88, P102",6,the author.,0
"Moreno D, 2021, DYNA, V88, P102",7,licensee universidad nacional de colombia.,0
"de Oliveira FC, 2021, DYNA, V88, P139",0,"seeking to contribute with the management of water resources in the itaipu binacional reservoir region, this research aimed to characterize the dynamics of evapotranspiration and evaluate the performance of different mathematical methods, which determine reference evapotranspiration (eto) from air temperature values.",0
"de Oliveira FC, 2021, DYNA, V88, P139",1,fifteen municipalities were analyzed.,0
"de Oliveira FC, 2021, DYNA, V88, P139",2,"after obtaining the data series, eto was estimated using six methods: camargo (c), hargreaves-samani (hg-s), jensen-haise (jh), penman-monteith with missing data (pmm), thornthwaite-camargo (tw-c) and penman-monteith (pm)  the latter was the reference method.",0
"de Oliveira FC, 2021, DYNA, V88, P139",3,the performance of the methods was analyzed by several statistical indexes.,0
"de Oliveira FC, 2021, DYNA, V88, P139",4,"daily eto values ranged from 2 to 10 mm d-1, with an annual mean of 5.78 mm d-1.",0
"de Oliveira FC, 2021, DYNA, V88, P139",5,"we also observed that it is determined predominantly by radioactive parameters, which annually represent 76% of the evapotranspiration process, while aerodynamic parameters represent 24%.",0
"de Oliveira FC, 2021, DYNA, V88, P139",6,"among the eto estimation methods, hg-s and pmm were the most suitable for estimating.",0
"de Oliveira FC, 2021, DYNA, V88, P139",7,the author.,0
"de Oliveira FC, 2021, DYNA, V88, P139",8,licensee universidad nacional de colombia.,0
"Duarte TF, 2021, DYNA, V88, P190",0,sensors associated with the arduino board can be an alternative to traditional sensors.,1
"Duarte TF, 2021, DYNA, V88, P190",1,the objective of this study was to calibrate a capacitive sensor to measure soil moisture and determine the soil water retention curve (&lt. 100 kpa) using the mpx5100dp pressure transducer in conjunction with capacitive sensor measurements.,1
"Duarte TF, 2021, DYNA, V88, P190",2,"the soil used was red oxisol, which had a clay texture and a bulk density of 1.20 mg m-3.",1
"Duarte TF, 2021, DYNA, V88, P190",3,"the model y = a = bcx was fitted to the capacitive sensor data, which had the following statistical parameters: 9% (mape, mean absolute percentage error), 0.025 (rmse, root-mean-square error), 0.97 (d), and 0.93 (r3).",1
"Duarte TF, 2021, DYNA, V88, P190",4,"in general, the error for the retention curves obtained with the capacitive sensor and that obtained by weighing was 0.025 (rmse).",1
"Duarte TF, 2021, DYNA, V88, P190",5,"despite the slight tendency of the capacitive sensor to underestimate the highest values of soil moisture, these sensors can be used as an alternative for measuring soil moisture and water tension.",1
"Duarte TF, 2021, DYNA, V88, P190",6,the author.,1
"Duarte TF, 2021, DYNA, V88, P190",7,licensee universidad nacional de colombia.,1
"Baptista LB, 2021, DYNA, V88, P44",0,climate change is upon us.,0
"Baptista LB, 2021, DYNA, V88, P44",1,the exponential use of fossil fuels for over two centuries is changing the world as we know it.,0
"Baptista LB, 2021, DYNA, V88, P44",2,"an energy transition towards a greener world is needed and it may entail the decarbonization of several sectors, such as the passenger transport sector.",0
"Baptista LB, 2021, DYNA, V88, P44",3,"this work aims to evaluate the role of four vehicle technologies, based on six vehicle penetration scenarios.",0
"Baptista LB, 2021, DYNA, V88, P44",4,"this assessment is made using the comparison of three indicators for these scenarios, energy consumption, water consumption, and required infrastructural change.",0
"Baptista LB, 2021, DYNA, V88, P44",5,"it was found that a pure battery-electric fleet would require the least amount of energy in 2050. there is also the issue with the loss of jobs in the sugar and alcohol sector, which can be reduced in this scenario of a battery electric vehicle fleet.",0
"Baptista LB, 2021, DYNA, V88, P44",6,the opportunities to maintain ethanol production as an energy vector in the transport sector are apparent.,0
"Baptista LB, 2021, DYNA, V88, P44",7,the author.,0
"Baptista LB, 2021, DYNA, V88, P44",8,licensee universidad nacional de colombia.,0
"Pulgarin-Montoya DA, 2021, DYNA, V88, P28",0,"in this study, the degree of goodness of fit presented by the san model is determined to calculate the percentage of removal of flocculent particles, when the initial turbidity in the problem water is low.",0
"Pulgarin-Montoya DA, 2021, DYNA, V88, P28",1,"for this, the frequency analysis of the historical turbidity data that enters four drinking water treatment plants located in the department of cundinamarca (colombia) is made, which show values that range between 0.60 and 15.08 ntu (nephelometric turbidity units).",0
"Pulgarin-Montoya DA, 2021, DYNA, V88, P28",2,"the water coagulation was done using type a aluminum sulfate and the sedimentation test was carried out in a sedimentation tower in order to determine the remaining turbidity in the water, which allows calculating the percentage of removal for different sedimentation times and at different depths.",0
"Pulgarin-Montoya DA, 2021, DYNA, V88, P28",3,the values of the constants of the san model were determined through a multiple linear regression and the goodness of fit test was performed by calculating the coefficient of determination r2 for the different initial turbidity values in the test water.,0
"Pulgarin-Montoya DA, 2021, DYNA, V88, P28",4,the author.,0
"Pulgarin-Montoya DA, 2021, DYNA, V88, P28",5,licensee universidad nacional de colombia.,0
"Rodrigues FSP, 2021, DYNA, V88, P59",0,this study identifies the most valued factors for potential bicycle users on work trips and evaluate the impact of implementing different strategies to improve bicycle use.,0
"Rodrigues FSP, 2021, DYNA, V88, P59",1,we applied an online stated-preference survey from 127 companhia riograndense de saneamento (corsan) employees in porto alegre (brazil).,0
"Rodrigues FSP, 2021, DYNA, V88, P59",2,"then, we formulated hybrid ordered logit models to estimate the probability of bicycle use under different hypothetical scenarios.",0
"Rodrigues FSP, 2021, DYNA, V88, P59",3,"the results showed that locker rooms, bicycle parking, bike-sharing systems (bike loaner programs run by the company), training for employees in bicycle use and the presence of bike paths for access to corsan all encourage bicycle use.",0
"Rodrigues FSP, 2021, DYNA, V88, P59",4,the availability of locker rooms proved to be the most important variable.,0
"Rodrigues FSP, 2021, DYNA, V88, P59",5,"the joint implementation of locker rooms, bicycle parking and bike-sharing systems (loaner programs) would increase demand by 66%.",0
"Rodrigues FSP, 2021, DYNA, V88, P59",6,the strategies discussed in this article can easily be adapted to other contexts where there is a desire to increase shared bicycle commuting to workplaces.,0
"Rodrigues FSP, 2021, DYNA, V88, P59",7,the author.,0
"Rodrigues FSP, 2021, DYNA, V88, P59",8,licensee universidad nacional de colombia.,0
